patch_id,input
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_07_67,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_17_61,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNK_60_53,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_04_58,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_51_81,"Give a detailed overview of this satellite scene, including the region and land cover classes."
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_38_09,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_29_90,"Describe the image, specifying the region, climate, and landscape features."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_22_17,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_79_10,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_48_12,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_79_30,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180421T100029_N9999_R122_T33UXQ_16_81,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_63_60,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWN_50_85,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_57_25,Describe this image in detail.
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_21_11,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_64_08,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_03_82,"Explain the distribution of land cover in this image, including the geographic region and season."
S2B_MSIL2A_20171206T094349_N9999_R036_T34TCR_52_81,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
